[2024-07-18 12:47:48][INFO] Loading resources...
[2024-07-18 13:01:51][FINE] Scheduled update for region-file: (0, 0) (Map: world)
[2024-07-18 13:01:56][FINE] Scheduled update for region-file: (2, -2) (Map: world)
[2024-07-18 13:02:01][FINE] Scheduled update for region-file: (2, -1) (Map: world)
[2024-07-18 13:02:02][FINE] Scheduled update for region-file: (0, 0) (Map: world)
[2024-07-18 13:02:02][FINE] Scheduled update for region-file: (-1, 0) (Map: world)
[2024-07-18 13:02:18][FINE] Scheduled update for region-file: (1, -2) (Map: world)
[2024-07-18 13:02:18][FINE] Scheduled update for region-file: (2, -2) (Map: world)
[2024-07-18 13:02:18][FINE] Scheduled update for region-file: (0, 0) (Map: world)
[2024-07-18 13:02:19][FINE] Scheduled update for region-file: (1, -1) (Map: world)
[2024-07-18 13:02:19][FINE] Scheduled update for region-file: (2, -1) (Map: world)
[2024-07-18 13:02:22][FINE] Scheduled update for region-file: (0, -1) (Map: world)
[2024-07-18 13:02:27][FINE] Scheduled update for region-file: (-1, -1) (Map: world)
[2024-07-18 13:02:35][FINE] Scheduled update for region-file: (-1, -2) (Map: world)
[2024-07-18 13:02:43][FINE] Scheduled update for region-file: (-1, -2) (Map: world)
[2024-07-18 13:02:43][FINE] Scheduled update for region-file: (0, -2) (Map: world)
[2024-07-18 13:02:45][FINE] Scheduled update for region-file: (0, -1) (Map: world)
[2024-07-18 13:02:50][FINE] Scheduled update for region-file: (-1, -1) (Map: world)
[2024-07-18 13:02:59][FINE] Scheduled update for region-file: (0, 0) (Map: world)
[2024-07-18 13:03:00][FINE] Scheduled update for region-file: (-1, 0) (Map: world)
[2024-07-18 13:03:09][FINE] Scheduled update for region-file: (0, 0) (Map: world)
[2024-07-18 13:03:09][FINE] Scheduled update for region-file: (1, -2) (Map: world)
[2024-07-18 13:03:10][FINE] Scheduled update for region-file: (-1, 0) (Map: world)
[2024-07-18 13:03:10][FINE] Scheduled update for region-file: (-1, -1) (Map: world)
[2024-07-18 13:03:17][FINE] Scheduled update for region-file: (0, -2) (Map: world)
[2024-07-18 13:03:17][FINE] Scheduled update for region-file: (1, -2) (Map: world)
